X_ 1,X_ 2,X_ 3,X_ 4,X_ 5,X_ 6,X_ 7,X_ 8,X_ 9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,Y_ 1,Y_ 2,Y_ 3,Y_ 4,Y_ 5,Y_ 6,Y_ 7,Y_ 8,Y_ 9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,IDEN
-84.80796,-84.817843,-84.59715,-84.546854,-84.476994,-84.450398,-84.454923,-84.412521,-84.429876,-84.513503,-84.637579,-84.789011,-84.819807,-84.80796,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.514383,31.619771,31.637613,31.621199,31.621167,31.621868,31.548331,31.45693,31.436661,31.439607,31.433926,31.436442,31.501192,31.514383,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
-84.91743,-84.641673,-84.537101,-84.542653,-84.644678,-84.730855,-84.922423,-84.91743,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.25599,31.258967,31.255932,31.079029,31.079504,31.06919,31.07259,31.25599,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
-85.0211075623628,-84.922423,-84.730855,-84.78682,-84.8634638443825,-84.864693,-84.91815,-84.934283,-84.935698,-84.983757,-85.006062,-85.002499,-85.011392,-85.0211075623628,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0754638723064,31.07259,31.06919,30.801489,30.7114970146544,30.711542,30.772082,30.834033,30.878703,30.936984,30.977039,31.000682,31.053546,31.0754638723064,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
-91.5061679086223,-90.911969,-90.913616,-90.916609,-90.916071,-91.3646166033233,-91.361571,-91.397853,-91.436051,-91.428956,-91.4368432685991,-91.43709,-91.484064,-91.497663,-91.511956,-91.5061679086223,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2006435127951,40.193088,40.104452,39.845075,39.757168,39.7587182263223,39.787548,39.821122,39.84551,39.907729,39.9452434636785,39.946417,40.019332,40.078257,40.170441,40.2006435127951,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
-88.940384860378,-88.7764957607352,-88.70738,-88.7073777154018,-88.705633,-88.939732,-88.940384860378,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4954398274712,42.4941366004674,42.493587,42.4935870147696,42.153561,42.15232,42.4954398274712,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
-90.913616,-90.695884,-90.607134,-90.513747,-90.512616,-90.583534,-90.571754,-90.890082,-90.916609,-90.913616,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.104452,40.103794,39.981658,39.987891,39.965285,39.87675,39.839326,39.841,39.845075,40.104452,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71
-89.862351,-89.631494,-89.166561,-89.163705,-89.334901,-89.356671,-89.466534,-89.466421,-89.638429,-89.638864,-89.857798,-89.862351,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.584005,41.584949,41.585289,41.310187,41.300877,41.233235,41.233873,41.148558,41.148591,41.233862,41.234483,41.584005,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72
-90.3156965142715,-89.91965,-89.898103,-89.688486,-89.685366,-90.128204,-90.1581530337095,-90.156902,-90.140613,-90.1596824511227,-90.163446,-90.161159,-90.207421,-90.26908,-90.3156965142715,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1939464322514,42.196824,42.196274,42.199112,41.93034,41.928977,41.9298432273761,41.938181,41.995999,42.0330872575859,42.040407,42.106372,42.149109,42.1745,42.1939464322514,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73
-90.512616,-90.513747,-90.435852,-90.355198,-90.286724,-90.134517,-89.994724,-89.994506,-89.994405,-90.583534,-90.512616,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.965285,39.987891,40.020562,40.124245,40.055321,40.062023,40.108373,39.901925,39.87286,39.87675,39.965285,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
-88.463174,-88.460418,-88.459957,-88.346987,-87.932858,-87.942103,-87.937645,-88.349187,-88.462207,-88.463174,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.142196,40.281935,40.39885,40.398651,40.399401,40.225482,39.879803,39.879451,39.879092,40.142196,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
