X_ 1,X_ 2,X_ 3,X_ 4,X_ 5,X_ 6,X_ 7,X_ 8,X_ 9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,Y_ 1,Y_ 2,Y_ 3,Y_ 4,Y_ 5,Y_ 6,Y_ 7,Y_ 8,Y_ 9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,IDEN
-88.940384860378,-88.7764957607352,-88.70738,-88.7073777154018,-88.705633,-88.939732,-88.940384860378,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4954398274712,42.4941366004674,42.493587,42.4935870147696,42.153561,42.15232,42.4954398274712,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70
-88.463174,-88.460418,-88.459957,-88.346987,-87.932858,-87.942103,-87.937645,-88.349187,-88.462207,-88.463174,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.142196,40.281935,40.39885,40.398651,40.399401,40.225482,39.879803,39.879451,39.879092,40.142196,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75
-88.695165,-88.693531,-88.361745,-88.36176,-88.258608,-88.257783,-88.296989,-88.253851,-88.564109,-88.698457,-88.695165,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.826299,38.914617,38.910847,38.851949,38.847521,38.731139,38.63419,38.599502,38.607093,38.606304,38.826299,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77
-89.707024,-89.595103,-89.597321,-89.254237,-89.138393,-89.143898,-89.351494,-89.481556,-89.615212,-89.704417,-89.707024,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.655152,38.655948,38.743236,38.742019,38.736331,38.503088,38.518605,38.468465,38.472072,38.415667,38.655152,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
-88.939732,-88.705633,-88.588657,-88.58833,-88.60156,-88.601933,-88.60224,-88.712444,-88.818233,-88.938618,-88.941279,-88.939732,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.15232,42.153561,42.15359,42.066462,42.017925,41.719563,41.631389,41.630491,41.631351,41.628319,41.891752,42.15232,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79
-88.805325,-88.470906,-88.470865,-88.360654,-88.361745,-88.693531,-88.806789,-88.805325,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.216263,39.215029,39.171463,39.171118,38.910847,38.914617,38.911655,39.216263,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
-89.177597,-89.115414,-89.129637,-88.704606,-88.706622,-88.70676,-89.151176,-89.150755,-89.177597,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.950311,38.085954,38.124747,38.125195,37.906797,37.863338,37.861999,37.945185,37.950311,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85
-88.131938,-87.5264633059912,-87.526014,-87.5261364904237,-87.526292,-87.5268757732538,-87.935309,-88.117905,-88.118191,-88.131938,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.997839,41.0103548179645,40.895582,40.7368850814229,40.535409,40.4912244096904,40.485923,40.488086,40.516982,40.997839,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
-88.60156,-88.58833,-88.588657,-88.393762,-88.354183,-88.257689,-88.238369,-88.238291,-88.263378,-88.263255,-88.262876,-88.26241,-88.262492,-88.26279,-88.26279,-88.261952,-88.37532,-88.4045,-88.601933,-88.60156,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.017925,42.066462,42.15359,42.1539,42.154224,42.154073,42.154253,42.092348,42.066626,42.015492,41.986227,41.899234,41.882886,41.812301,41.812132,41.724652,41.72261,41.72227,41.719563,42.017925,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
-90.439423,-90.437657,-89.984559,-89.985479,-89.986068,-90.444343,-90.439423,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.063995,41.151252,41.149366,40.974495,40.712257,40.714667,41.063995,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99
-89.62933,-89.426727,-89.414627,-88.941279,-88.938618,-89.1672,-89.166561,-89.631494,-89.62933,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.901617,41.908418,41.886175,41.891752,41.628319,41.628707,41.585289,41.584949,41.901617,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101
-90.273686,-90.145991,-90.116509,-89.698555,-89.639265,-89.637049,-89.637831,-89.599593,-89.597321,-89.595103,-89.707024,-90.037105,-90.1815243815314,-90.19521,-90.20991,-90.1665946400156,-90.166409,-90.117707,-90.113327,-90.2072823011856,-90.230336,-90.2765837220256,-90.273686,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.999347,39.000046,38.998962,38.998979,38.999129,38.918364,38.918353,38.87453,38.743236,38.655948,38.655152,38.658449,38.6603728853105,38.68755,38.72605,38.7724501393051,38.772649,38.805748,38.849306,38.8987323228399,38.91086,38.9193384672116,38.999347,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106
-89.143898,-89.138393,-89.138138,-88.695165,-88.698457,-88.698961,-89.144388,-89.143898,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.503088,38.736331,38.824244,38.826299,38.606304,38.474914,38.473878,38.503088,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107
