SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,SM9,SM10,SM11,SM12,SM13,SM14,SM15,SM16,SM17,SM18,SM19,SM20,SM21,SM22,SM23,SM24,SM25,SM26,SM27,SM28,SM29,SM30,SM31,SM32,SM33,SM34,SM35,SM36,SM37,SM38,SM39,SM40,SM41,SM42,SM43,SM44,SM45,SM46,SM47,SM48,SM49,SM50,SM51,SM52,SM53,SM54,SM55,SM56,SM57,SM58,SM59,SM60,SM61,SM62,SM63,SM64,SM65,SM66,SM67,SM68,SM69,SM70,SM71,SM72,SM73,SM74,SM75,SM76,SM77,SM78,SM79,SM80,SM81,SM82,SM83,SM84,SM85,SM86,SM87,SM88,SM89,SM90,SM91,SM92,SM93,SM94,SM95,SM96,SM97,SM98,SM99,SM100,SM101,SM102,SM103,SM104,SM105,SM106,SM107,SM108,SM109,SM110,SM111,SM112,SM113,SM114,SM115,SM116,SM117,SM118,SM119,SM120,SM121,SM122
0.125124845,0.125124845,0.125124845,0.122519964,0.116219849,0.107698431,0.10409042,0.102713752,0.122907421,0.122907421,0.125641455,0.152490132,0.169930326,0.225075644,0.238715327,0.257124293,0.270153049,0.270153049,0.282525343,0.257307491,0.256842542,0.209078494,0.223426932,0.194822805,0.200591039,0.200591039,0.206903407,0.197673993,0.218117913,0.167072165,0.150551835,0.128103867,0.118425534,0.118425534,0.101238795,0.09712465,0.091721198,0.090070623,0.090070623,0.090410666,0.090410666,0.090410666,0.096039119,0.118432164,0.140825209,0.164238608,0.164238608,0.164238608,0.147114621,0.147114621,0.150259328,0.123646479,0.091643714,0.151524873,0.179104373,0.201183615,0.18787701,0.18787701,0.227029086,0.217904697,0.200110533,0.177469757,0.171908419,0.17989216,0.164317793,0.164317793,0.155579881,0.154423458,0.141257762,0.153065523,0.155032087,0.167511219,0.149128326,0.149128326,0.148519705,0.131480018,0.111757461,0.095737645,0.094681885,0.094915965,0.100764013,0.100764013,0.107565033,0.113060656,0.113123431,0.123927844,0.151308134,0.167808121,0.18679647,0.18679647,0.215420941,0.199654651,0.199654651,0.205970875,0.206043903,0.199800814,0.2001668,0.2001668,0.210848376,0.184850041,0.171460927,0.155915077,0.155543205,0.140302687,0.1458059,0.1458059,0.158789521,0.169795503,0.173185525,0.164497723,0.162073662,0.163914633,0.184806403,0.184806403,0.178930554,0.155248672,0.165298224,0.178523069,0.178523069,0.130532174,0.165972613,0.165972613
0.219316425,0.231143601,0.231143601,0.231143601,0.223918647,0.234753716,0.236828843,0.233377437,0.226237266,0.219954119,0.219954119,0.225857563,0.215275507,0.202552412,0.177002698,0.167194598,0.155891239,0.17150774,0.17150774,0.167500539,0.161142798,0.166065705,0.201881776,0.203211086,0.198162367,0.190012324,0.190012324,0.205993242,0.205993242,0.186380606,0.144576069,0.147195802,0.138012605,0.134328286,0.134328286,0.134328286,0.167403361,0.182007835,0.196794118,0.196794118,0.266628588,0.244183962,0.244183962,0.221739335,0.221739335,0.221739335,0.221739335,0.221196779,0.220654223,0.189759113,0.189759113,0.189759113,0.226247674,0.226247674,0.225524943,0.220732312,0.241355082,0.246117242,0.246117242,0.228414724,0.217749218,0.217503614,0.202114547,0.195304831,0.173605201,0.189660305,0.189660305,0.19096284,0.190242227,0.200260562,0.216131464,0.217759004,0.211070133,0.216841839,0.216841839,0.22642899,0.224108489,0.224648522,0.231676184,0.225052911,0.222018229,0.221863521,0.221863521,0.223435699,0.227542264,0.222148149,0.229627231,0.225297686,0.226597117,0.224242116,0.224242116,0.219035502,0.219035502,0.214743083,0.20657701,0.204489363,0.198145486,0.194566605,0.194566605,0.194566605,0.190974024,0.189306398,0.182522155,0.176821899,0.173292917,0.162949582,0.162949582,0.157200682,0.161385456,0.155193495,0.150771563,0.143721335,0.147655255,0.150313729,0.150313729,0.142438379,0.14372313,0.142812395,0.152933265,0.137193215,0.126645249,0.116587367
0.200579727,0.201378731,0.201378731,0.191189787,0.177384275,0.176597527,0.197093599,0.213878003,0.216603318,0.221881516,0.237196157,0.268143155,0.25368374,0.239507413,0.205229869,0.196982306,0.183562207,0.193782049,0.19192924,0.186868864,0.182135671,0.186802197,0.192042867,0.187195934,0.175362569,0.166667274,0.165016771,0.157370428,0.157370428,0.147023082,0.167905896,0.193521008,0.212806975,0.215328749,0.242042455,0.232277445,0.223485803,0.221140517,0.204731908,0.204731908,0.195650826,0.195297297,0.191454737,0.194900798,0.194900798,0.194900798,0.194900798,0.191028969,0.189248335,0.168847911,0.155666187,0.180693025,0.188528894,0.188528894,0.197680623,0.190792466,0.206478817,0.221423979,0.219093298,0.203013043,0.188176944,0.180248123,0.167133496,0.156883435,0.125803137,0.138712437,0.136461676,0.132588398,0.125183415,0.128783936,0.164356519,0.183289719,0.18152474,0.199473542,0.22100707,0.246455326,0.233493592,0.227323609,0.215439058,0.205575202,0.189151814,0.185094124,0.182028528,0.187219457,0.190199773,0.184466306,0.182967362,0.183096718,0.1867955,0.179038077,0.173856445,0.157284482,0.157284482,0.156262067,0.159674277,0.158773946,0.162910326,0.146693611,0.152157519,0.148530373,0.152853302,0.141484733,0.138544895,0.13288906,0.140668844,0.137829097,0.139612549,0.130153016,0.128115073,0.121436626,0.114293259,0.103741869,0.095482989,0.085501227,0.085501227,0.073334554,0.066677353,0.058116464,0.051130846,0.045213703,0.040042584,0.037104076
0.237016443,0.251560249,0.251560249,0.251560249,0.247155057,0.260664717,0.271523149,0.269039189,0.265169632,0.254761939,0.254761939,0.261702758,0.250045037,0.233399348,0.210496935,0.204200155,0.197753921,0.213859921,0.213859921,0.213455936,0.206185137,0.210620158,0.232101818,0.23078702,0.220323386,0.213106078,0.213106078,0.222683858,0.222683858,0.20914839,0.161202737,0.152150368,0.132498475,0.130844121,0.130844121,0.130844121,0.172193096,0.185940355,0.211887718,0.211887718,0.296240024,0.280867657,0.280867657,0.26549529,0.26549529,0.26549529,0.26549529,0.246381885,0.22726848,0.198980795,0.198980795,0.198980795,0.23588098,0.23588098,0.240362043,0.232195398,0.252696161,0.256042593,0.256042593,0.238163008,0.227249156,0.22276165,0.211538803,0.208079745,0.188745696,0.207616337,0.207616337,0.211985917,0.210586488,0.222773011,0.234806009,0.238387485,0.229773893,0.237100878,0.237100878,0.247338436,0.242224951,0.245032747,0.239287668,0.231989974,0.222959355,0.227661322,0.227661322,0.227920264,0.239040762,0.241422123,0.259067099,0.255154462,0.259616875,0.252184929,0.252184929,0.24544582,0.24544582,0.236652821,0.227640997,0.235084558,0.237682291,0.237996405,0.237996405,0.237996405,0.232759664,0.235215251,0.223832411,0.21580777,0.208202149,0.193864986,0.193864986,0.186136834,0.186028364,0.176096766,0.16828343,0.164982332,0.169691944,0.171322479,0.171322479,0.166528988,0.166429153,0.165807591,0.171171867,0.155714886,0.145465287,0.134289453
0.182285897,0.180347859,0.180347859,0.180347859,0.164195015,0.166317888,0.177908932,0.179864764,0.180995758,0.188590152,0.188590152,0.212874708,0.198709351,0.184439624,0.162182693,0.153956754,0.134817894,0.154448472,0.154448472,0.153860203,0.149106566,0.159154933,0.20553989,0.205374896,0.202719792,0.190338699,0.190338699,0.208836379,0.208836379,0.179037665,0.201817155,0.240384899,0.283979639,0.260688988,0.260688988,0.260688988,0.252833042,0.253631092,0.221686445,0.221686445,0.229265205,0.247426753,0.247426753,0.265588302,0.265588302,0.265588302,0.265588302,0.202018991,0.138449679,0.129537247,0.129537247,0.129537247,0.157645088,0.157645088,0.178909711,0.171330529,0.188232434,0.209889964,0.209889964,0.208566362,0.187347432,0.182382059,0.167536532,0.149565391,0.10779967,0.151042659,0.151042659,0.160159999,0.158004894,0.175987726,0.235812604,0.250921813,0.240971874,0.25263638,0.25263638,0.286335313,0.278982205,0.280267406,0.246854195,0.230709447,0.211735963,0.214347983,0.214347983,0.20015635,0.204958812,0.207941814,0.209535302,0.203319412,0.197031202,0.187210355,0.187210355,0.176491741,0.176491741,0.171209778,0.16738435,0.170211765,0.17644374,0.16892921,0.16892921,0.16892921,0.163571021,0.159087733,0.148427166,0.140094154,0.135492154,0.130452668,0.130452668,0.124771406,0.117555857,0.108779511,0.093564576,0.083727184,0.07319151,0.06477635,0.06477635,0.054398731,0.061242396,0.058506424,0.060652132,0.055448029,0.063406608,0.053524312
0.157721615,0.159699166,0.159699166,0.159699166,0.134554731,0.135900611,0.150256372,0.163081651,0.162890779,0.16549413,0.16549413,0.200951698,0.190157192,0.177545116,0.151111464,0.14338093,0.133406511,0.150272457,0.150272457,0.147772051,0.143245606,0.150241963,0.180091435,0.177052606,0.169113377,0.157816973,0.157816973,0.167200541,0.167200541,0.145931941,0.200500862,0.235831481,0.29178334,0.274331152,0.274331152,0.274331152,0.250624865,0.2418085,0.209466391,0.209466391,0.179506006,0.205172914,0.205172914,0.230839821,0.230839821,0.230839821,0.230839821,0.21434408,0.197848338,0.168443382,0.168443382,0.168443382,0.177391328,0.177391328,0.175717595,0.170221333,0.180615635,0.199557933,0.199557933,0.200981504,0.182168282,0.178615329,0.165109576,0.151662505,0.116755065,0.143907384,0.143907384,0.149966974,0.137198403,0.145192775,0.191595054,0.206455024,0.200151918,0.208670132,0.208670132,0.245262613,0.23038782,0.223674384,0.197792699,0.188849984,0.173725053,0.175388586,0.175388586,0.171930301,0.173605271,0.173677068,0.172305835,0.170632542,0.167383661,0.159942949,0.159942949,0.153713872,0.153713872,0.151616738,0.14077601,0.138451443,0.138866758,0.126321307,0.126321307,0.126321307,0.121561206,0.114104538,0.103798116,0.095103666,0.093061421,0.086118854,0.086118854,0.079064838,0.072877513,0.06287567,0.052724117,0.047451674,0.041505181,0.036236034,0.036236034,0.030209532,0.034939439,0.033730699,0.034778876,0.030366827,0.035335944,0.029356515
0.201957909,0.213758671,0.213758671,0.213758671,0.20239992,0.205612764,0.229386679,0.228014751,0.224899603,0.212630142,0.212630142,0.227398967,0.20816027,0.183388302,0.148621507,0.141509028,0.130071451,0.161095655,0.161095655,0.164646147,0.162402185,0.176670053,0.207011129,0.196474277,0.177242947,0.168523147,0.168523147,0.17280743,0.17280743,0.153613734,0.135355109,0.127685143,0.120345841,0.109632996,0.109632996,0.109632996,0.161150284,0.172084889,0.201954727,0.201954727,0.315702147,0.303627781,0.303627781,0.291553416,0.291553416,0.291553416,0.291553416,0.23019823,0.168843045,0.145758799,0.145758799,0.145758799,0.139660897,0.139660897,0.13907815,0.139469195,0.145067409,0.185262045,0.185262045,0.204527696,0.201010857,0.212316208,0.215603539,0.205307762,0.171795031,0.193606974,0.193606974,0.194655852,0.191641451,0.205353826,0.217010213,0.215943837,0.201577516,0.205789148,0.205789148,0.213519449,0.215309675,0.217283036,0.220847485,0.20983289,0.206969172,0.197639166,0.197639166,0.18995877,0.198611558,0.190336059,0.201833734,0.197882218,0.207293241,0.201894145,0.201894145,0.194335552,0.194335552,0.185862263,0.176009384,0.177373245,0.173211439,0.173663481,0.173663481,0.173663481,0.170252518,0.17156272,0.162022285,0.150593663,0.142602362,0.134205208,0.134205208,0.125600402,0.130231611,0.123148927,0.123696172,0.115599335,0.117794531,0.114259343,0.114259343,0.104304045,0.098945361,0.092610638,0.093261545,0.080124646,0.068360079,0.06453116
0.205588858,0.210006133,0.210006133,0.187429248,0.210908307,0.212681456,0.249973354,0.249973354,0.261823335,0.255364522,0.29306087,0.27774581,0.258455689,0.223991237,0.214934352,0.214934352,0.207916441,0.227095129,0.224326738,0.22460536,0.213309097,0.22182423,0.243491725,0.243491725,0.229778569,0.214629524,0.219032302,0.20866441,0.20866441,0.158749511,0.18609364,0.18609364,0.194549265,0.171467199,0.183042483,0.213509738,0.23786316,0.236890248,0.236890248,0.236890248,0.292683838,0.296735587,0.307881256,0.295469874,0.295469874,0.295469874,0.295469874,0.295469874,0.286100661,0.202468536,0.118836411,0.112808701,0.10416782,0.10416782,0.11233383,0.11233383,0.110166302,0.182202354,0.207342808,0.272849725,0.250660203,0.288602985,0.246013038,0.246013038,0.195247215,0.241324081,0.227296504,0.251148928,0.237412802,0.277136004,0.282612615,0.282612615,0.250298595,0.264337442,0.26723362,0.288709725,0.290141123,0.287174013,0.287447848,0.287447848,0.281112469,0.256985534,0.255769798,0.237812414,0.246328266,0.232347904,0.230931747,0.230931747,0.246374087,0.238418302,0.237703349,0.204169531,0.204169531,0.192912658,0.192815719,0.192815719,0.181948104,0.19516051,0.207103582,0.204121517,0.200563513,0.203210737,0.19586245,0.19586245,0.187288158,0.171206064,0.162222289,0.140837556,0.148673524,0.14029217,0.137100564,0.137100564,0.141814159,0.127422616,0.127985053,0.101422803,0.112316034,0.10724613,0.10724613,0.10724613,0.118745202,0.101544142
0.249002758,0.260919008,0.260919008,0.243732254,0.240613827,0.236979769,0.275748883,0.282269277,0.283129492,0.288889737,0.311568024,0.33278883,0.315137693,0.29317632,0.271303118,0.257524587,0.2427097,0.256070275,0.249411803,0.246636152,0.235755959,0.236241283,0.248991841,0.244628862,0.228183943,0.217731773,0.212782628,0.202466369,0.202466369,0.182640772,0.140838983,0.132594882,0.113886769,0.099730868,0.082562409,0.147431711,0.182023788,0.206557512,0.231581805,0.231581805,0.315787282,0.317307913,0.315474235,0.31340182,0.31340182,0.31340182,0.31340182,0.305099097,0.296126685,0.242614502,0.196475307,0.230721845,0.21470736,0.21470736,0.20234304,0.195522415,0.204493314,0.236638874,0.225331982,0.254370178,0.243312484,0.257719835,0.247813022,0.238969657,0.207330876,0.238730525,0.228592083,0.244002347,0.232714067,0.254599382,0.243801715,0.23936668,0.209137385,0.214896878,0.202817744,0.218226972,0.2389392,0.257150263,0.273469535,0.270028205,0.279640135,0.265675832,0.270464915,0.256340815,0.257309461,0.246368668,0.245536156,0.242647158,0.250062967,0.245049863,0.240565838,0.224184209,0.224184209,0.216550559,0.197489649,0.197687039,0.186373185,0.193531058,0.194331287,0.192794403,0.18675426,0.190970731,0.177842261,0.166153068,0.153288518,0.140564467,0.133537602,0.12422836,0.126948846,0.120013872,0.114635243,0.107862872,0.111679186,0.10352678,0.100263706,0.086562326,0.080479955,0.072775025,0.067631971,0.060578769,0.053971439,0.04964343
0.338530288,0.356185831,0.356185831,0.350565709,0.347648121,0.350687399,0.373232989,0.373232989,0.373030194,0.374664474,0.386444143,0.395163005,0.371072475,0.347806713,0.344411633,0.344411633,0.332693073,0.335561848,0.325731816,0.337183747,0.327860711,0.325738817,0.312489897,0.312489897,0.301930472,0.288943155,0.274205314,0.245195509,0.245195509,0.231421695,0.214720972,0.214720972,0.197090857,0.169812136,0.148287111,0.177088241,0.21476247,0.225910117,0.225910117,0.225910117,0.281237829,0.286996272,0.313149157,0.300167268,0.300167268,0.300167268,0.300167268,0.300167268,0.301821378,0.263416836,0.225012293,0.224084076,0.213138754,0.213138754,0.197846173,0.197846173,0.1887908,0.223877974,0.224118679,0.257772912,0.258439395,0.293929716,0.269374201,0.269374201,0.249452436,0.293107338,0.29340618,0.31162585,0.303940493,0.340018105,0.315507789,0.315507789,0.279319705,0.275406243,0.262175707,0.266044798,0.29767328,0.316238759,0.320991384,0.320991384,0.340099893,0.326662276,0.338052469,0.305959457,0.305788706,0.295968521,0.298563517,0.298563517,0.302634881,0.307248675,0.310905004,0.299227202,0.299227202,0.295666551,0.267422246,0.267422246,0.240588342,0.250557358,0.240714513,0.238054271,0.229859665,0.236168341,0.223518956,0.223518956,0.207860144,0.191253553,0.177426808,0.15351258,0.146722772,0.133773429,0.125366032,0.125366032,0.120010116,0.106955852,0.098096749,0.090612592,0.092643959,0.090143999,0.090143999,0.090143999,0.101319468,0.081773569
